friend,title,year,rating,tags
narmacil,The Host: Potwór,2006,6,"['Dramat', 'Horror']"
narmacil,Lament,2016,7,['Horror']
narmacil,Z³odziejaszki,2018,8,['Dramat']
narmacil,Toy Story 4,2019,8,"['Animacja', 'Familijny', 'Fantasy', '']"
narmacil,Apollo 11,2019,8,['Dokumentalny']
narmacil,Rolling Thunder Revue: Opowieœæ o Bobie Dylanie od Martina Scorsese,2019,7,['Dokumentalny']
narmacil,Wysyp ¿ywych trupów,2004,4,"['Horror', 'Komedia']"
narmacil,Jestem mi³oœci¹,2009,8,['Melodramat']
narmacil,Avengers: Koniec gry,2019,4,"['Akcja', 'Sci-Fi']"
narmacil,¯o³nierze kosmosu,1997,8,"['Akcja', 'Sci-Fi']"
narmacil,Bohemian Rhapsody,2018,4,"['Biograficzny', 'Dramat', 'Muzyczny']"
narmacil,Faworyta,2018,8,"['Biograficzny', 'Historyczny']"
narmacil,Green Book,2018,5,"['Dramat', 'Komedia']"
narmacil,Vice,2018,7,"['Biograficzny', 'Dramat']"
narmacil,Ofiarowanie,1986,7,"['Dramat', 'Psychologiczny']"
narmacil,Ucieczka z Nowego Jorku,1981,3,"['Akcja', 'Sci-Fi']"
narmacil,Oni,2018,5,"['Biograficzny', 'Dramat', 'Komedia']"
narmacil,Roma,2018,9,['Dramat']
narmacil,Narodziny gwiazdy,2018,7,"['Dramat', 'Muzyczny']"
narmacil,Pierwszy cz³owiek,2018,8,"['Biograficzny', 'Dramat']"
narmacil,Vampire Hunter D: ¯¹dza krwi,2000,6,"['Horror', 'Przygodowy', 'Anime']"
narmacil,Wynalazek,2004,8,"['Thriller', 'Sci-Fi']"
narmacil,"Nixon wed³ug Nixona, w³asnymi s³owami",2014,7,['Dokumentalny']
narmacil,Œmieræ Stalina,2017,7,"['Biograficzny', 'Dramat', 'Komedia']"
narmacil,Czwarta w³adza,2017,4,"['Dramat', 'Polityczny']"
narmacil,Ran,1985,7,['Dramat historyczny']
narmacil,Zimna wojna,2018,9,['Melodramat']
narmacil,Palacz zw³ok,1968,8,"['Dramat', 'Horror', 'Psychologiczny']"
